copd,copd,gt,disease,natural,asthma,patients,remedies,treatments,chronic,pulmonary,cancer,health,lung,obstructive,treatment,heart,life,pneumonia,quality,tobacco,bt,treat,people,respiratory,improve,care,effects,lifestyle,smoking,changes
,608,84,67,53,51,50,47,47,42,41,40,39,35,33,29,25,25,25,24,23,22,22,20,20,19,18,18,18,18,17
disease,gt,disease,copd,chronic,obstructive,pulmonary,cancer,heart,attacks,strokes,tobacco,effects,health,hypertension,vascular,lung,smoking,market,people,age,common,cure,diagnosed,diseases,executive,progressive,respiratory,ability,affects,asthma
,84,67,47,35,31,30,20,18,16,16,16,15,15,15,15,8,6,4,4,3,3,3,3,3,3,3,3,2,2,2
pulmonary,gt,disease,copd,pulmonary,chronic,obstructive,attacks,cancer,health,heart,strokes,effects,hypertension,tobacco,vascular,rehabilitation,effect,individuals,nutritional,undergoing,diseases,market,age,common,executive,ability,affects,breathe,clinical,coping
,78,48,41,41,32,32,15,15,15,15,15,14,14,14,14,8,6,6,6,6,4,4,3,3,3,2,2,2,2,2
asthma,copd,asthma,lung,heat,help,treatment,aae,breathing,cancer,diagnosis,humidity,inhaler,kk,learn,nsw,preperation,sideeffects,symbicort,air,car,care,cars,cause,difference,difficulties,disease,donating,fight,h,health
,52,51,8,7,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
asthma,copd,asthma,lung,heat,help,treatment,aae,breathing,cancer,diagnosis,humidity,inhaler,kk,learn,nsw,preperation,sideeffects,symbicort,air,car,care,cars,cause,difference,difficulties,disease,donating,fight,h,health
,52,51,8,7,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3
patients,copd,patients,pneumonia,treated,fixed,mortality,related,combinations,inhaled,azithromycin,risk,study,via,cardiovascular,clinical,frequency,h,hospitalization,quality,reduce,bmj,boosts,f,laas,laba,labas,online,outcomes,using,aafp
,52,50,21,12,10,9,9,8,6,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2
respiratory,copd,respiratory,clinical,diabetes,disease,jobs,nurse,pm,rgn,specialist,w,accountingjobs,cardiac,jobsu,n,reading,registered,time,u,unit,symptoms,united,age,asthma,biweekly,chronic,common,diseases,f,j
,22,20,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2
respiratory,copd,respiratory,clinical,diabetes,disease,jobs,nurse,pm,rgn,specialist,w,accountingjobs,cardiac,jobsu,n,reading,registered,time,u,unit,symptoms,united,age,asthma,biweekly,chronic,common,diseases,f,j
,22,20,6,6,6,6,6,6,6,6,5,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2
patient,copd,patient,appropriate,meet,asthma,care,cgi,choosing,device,diagnosis,individual,maintenance,nurse,pwjcbhtlp,research,therapy,treatment,understanding,acr,annual,australia,barb,bjzvwcmkvt,blues,breathebetter,ces,cesdrilon,consequences,ctscan,day
,11,11,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
bladdercancer,bladdercancer,copd,emphysema,headandneckcancer,lungcancer,worldnotobaccoday,mob,rarmpvgsk,ucl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2,2,2,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lungcancer,bladdercancer,copd,emphysema,headandneckcancer,lungcancer,worldnotobaccoday,mob,rarmpvgsk,ucl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2,2,2,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
melanoma,copd,happy,jennajohnson,melanoma,myriad,removed,yr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bronchitis,bronchitis,copd,arthritis,askjesus,asthma,bipolar,bullet,cartlidge,charlottehaunch,choice,chronic,cronic,death,disease,ect,gods,knees,life,morbid,obesity,websites,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,copd,diabetes,clinical,jobs,respiratory,rgn,specialist,accountingjobs,jobsu,u,asthma,health,heart,alzheimer,as,base,beast,brthebtr,cancers,cannabis,cascar,ccg,coding,colleagues,combine,conditions,death,deep,developing,disease
,12,12,6,6,6,6,6,4,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
influenza,copd,cphc,diseases,frequently,gailzahtz,guide,influenza,pneumonia,questions,start,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
flu,bcuz,bernson,copd,corbin,disease,flu,joliepayson,learned,lung,michael,yr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aafp,aafp,boosts,copd,laas,labas,patients,cardiovascular,cardiovascularrisk,clinical,concerning,familymedicine,h,info,risk,uskoigte,wdvitgaxsq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
acupuncture,acupuncture,alternativemedicine,copd,dyspnea,foi,improves,patients,t,wmf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
als,als,autoimmune,copd,ms,chronicillness,parkinson,adult,ataxia,food,patients,pioneered,stemcell,stemcells,access,boreska,cells,chronc,d,doug,fda,fi,fj,fsync,fw,history,illness,lyme,n,parkinsons,patiens
,4,4,4,4,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alternativemedicine,acupuncture,alternativemedicine,copd,dyspnea,foi,improves,patients,t,wmf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cdctips,cancer,cdctips,copd,disease,g,heart,lung,m,painfulthings,quit,smoking,stroke,throat,ttqiq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
clevelandclinic,approximately,clevelandclinic,copd,million,women,people,jpbcsqke,prevention,publichealth,tips,z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,4,4,4,4,4,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cms,avoid,cms,copd,cuts,heartfailure,hsaykd,nlo,pharmacists,readmissions,reduce,reimbursement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doctor,asthma,copd,doctor,emsonium,gah,hayfever,issues,nasal,passage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fda,copd,fda,approves,breo,ellipta,treat,adult,als,autoimmune,c,cells,chronc,chronic,d,disease,drug,fsync,fw,history,illness,jzuhymau,ms,obstructive,parkinsons,powergrab,pqciyiies,pulmonary,stemcells,yourbody,NA
,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
healthcare,copd,bode,healthcare,index,mortality,predict,app,ch,diagnosed,fhz,help,k,medicalabacus,philly,professionals,uninsured,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
healthit,based,care,coordinate,copd,d,eq,evidence,healthit,helps,improve,methodistil,outcomes,patients,sfsvs,standards,yam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hospital,copd,hospital,anxiety,depression,health,properties,psychometric,questionnaire,scale,admissions,agrees,assessment,canada,pharmacy,reduce,severity,strengh,admitted,bckn,ccgl,djlynlnf,dtm,fcv,flaring,gves,h,hattie,hku,hlpbyprayer,ih
,10,10,5,5,5,5,5,5,5,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
medical,copd,medical,assessment,care,g,m,mkws,pe,primary,publications,research,asthma,capps,current,evidence,health,practice,results,supports,age,alert,articles,bidding,breathtaking,cityofto,clue,coad,coding,competitive,declares
,10,10,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
medicine,copd,medicine,pneumonia,anajpulmo,awesome,bronchodilator,combinations,csfavs,doc,exacerbations,fixed,inhaler,lecture,lxbhgdd,mortality,patients,prevention,pulmonology,ragfoqhwru,related,respimat,role,spiriva,treated,treatment,vf,xd,NA,NA,NA
,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
mri,ces,cesdrilon,copd,ctscan,instead,mri,patient,prevention,tumor,xrays,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nhs,accessing,arran,ayrshire,care,copd,homepod,loaded,nhs,pre,programme,pts,pulmonary,rehab,scttevent,telerehab,usual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nurse,nurse,copd,pm,respiratory,cardiac,n,reading,registered,time,unit,w,biweekly,united,west,a,blues,bzjzyeopw,clinician,consequences,iu,j,jd,l,list,listening,mfylj,morrice,nurseverina,passed,patient
,9,7,6,5,4,4,4,4,4,4,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nurses,f,respiratory,asthma,attend,copd,hour,interview,june,london,nurses,required,specialists,th,topic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2,2,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pharmacy,copd,pharmacy,reduce,admissions,agrees,assessment,canada,hospital,severity,azithromycin,bik,buy,cheap,drugs,dtm,effect,fcv,frequency,generic,gycoqi,hospitalization,interferon,iyqn,online,patients,pills,ra,ribavirin,rjg,sk
,4,4,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
physicaltherapy,copd,issue,jig,online,orbyaa,osteoarthritis,physicaltherapy,reviews,splenomegaly,topics,wounds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ptsafety,bmj,combinations,copd,corticosteroid,fixed,inhaled,laba,patients,pneumonia,ptsafety,treated,vafnpxmfwv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
publichealth,copd,publichealth,approximately,asthma,breathebetter,clevelandclinic,diagnosis,h,jpbcsqke,million,patient,prevention,sbfuhjq,tips,treatment,understanding,women,z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
readmissions,avoid,cms,copd,cuts,heartfailure,hsaykd,nlo,pharmacists,readmissions,reduce,reimbursement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rehab,accessing,arran,ayrshire,care,copd,homepod,loaded,nhs,pre,programme,pts,pulmonary,rehab,scttevent,telerehab,usual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rehabilitation,copd,rehabilitation,pulmonary,effect,individuals,nutritional,undergoing,clinical,coping,entering,outcomes,patients,relationship,styles,active,asthma,dkohcvj,evcj,fabu,fomiotsini,l,learn,manage,omaluruua,pisbvedfm,programme,relieve,respiratory,rvquvzabg,symptoms
,9,9,8,6,6,6,6,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rn,basis,clinics,copd,health,linked,lt,lungsk,primary,referrals,rn,team,trained,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
senior,copd,senior,asthma,break,heat,options,active,breathepa,call,cool,day,fitness,h,health,hotline,jcgtqjyui,k,mt,mtapyjfzlf,mwm,national,pa,rv,v,w,x,ym,NA,NA,NA
,5,4,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
stemcell,copd,stemcell,als,ataxia,autoimmune,chronicillness,food,ms,parkinson,patients,pioneered,barb,fi,fj,founded,info,lyme,meet,n,nkxtlwwgkb,ontheweb,patient,pfsctoday,scpioneer,sites,story,success,um,uvgevaxstq,NA
,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
telehealth,aerotel,aj,copd,eposter,hey,home,ocb,patients,presentation,service,spain,telehealth,via,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
therapy,copd,therapy,maintenance,appropriate,choosing,device,individual,macrolide,meet,patient,pwjcbhtlp,term,adjunct,breathing,capsule,cme,controlled,credits,diffusion,earn,effective,ellsfcl,gnhhtky,improved,includes,mj,oxygen,people,ptakknze,r
,7,7,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
