Raw Data,Sub-Group,Hashtags,File Name
#ACNE,Skin,ACNE,Tweets_ACNE.csv
#adcsm,Cancer,adcsm,Tweets_adcsm.csv
#ADD,Neurological,ADD,Tweets_ADD.csv
#ADHD,Neurological,ADHD,Tweets_ADHD.csv
#AFib,Cardiovascular,AFib,Tweets_AFib.csv
#AIDS,Immune,AIDS,Tweets_AIDS.csv
#AIDS,Infectious Disease,AIDS,Tweets_AIDS.csv
#Alergia,Immune,Alergia,Tweets_Alergia.csv
#Allergies,Immune,Allergies,Tweets_Allergies.csv
#Alopecia,Skin,Alopecia,Tweets_Alopecia.csv
#ALS,Neurological,ALS,Tweets_ALS.csv
#ALS,Rare Diseases,ALS,Tweets_ALS.csv
#Alzheimer,Neurological,Alzheimer,Tweets_Alzheimer.csv
#Alzheimers,Neurological,Alzheimers,Tweets_Alzheimers.csv
#Amyloidosis,Immune,Amyloidosis,Tweets_Amyloidosis.csv
#Amyloidosis,Rare Diseases,Amyloidosis,Tweets_Amyloidosis.csv
#Anaphylaxis,Multiple,Anaphylaxis,Tweets_Anaphylaxis.csv
#Anaphylaxis,Injury,Anaphylaxis,Tweets_Anaphylaxis.csv
#ancsm,Cancer,ancsm,Tweets_ancsm.csv
#Andropause,Multiple,Andropause,Tweets_Andropause.csv
#Angioedema,Skin,Angioedema,Tweets_Angioedema.csv
#Angiosarcoma,Multiple,Angiosarcoma,Tweets_Angiosarcoma.csv
#Angiosarcoma,Cancer,Angiosarcoma,Tweets_Angiosarcoma.csv
#Anorexia,Psych,Anorexia,Tweets_Anorexia.csv
#AnorexiaNervosa,Psych,AnorexiaNervosa,Tweets_AnorexiaNervosa.csv
#Anxiety,Psych,Anxiety,Tweets_Anxiety.csv
#Arachnoiditis,Neurological,Arachnoiditis,Tweets_Arachnoiditis.csv
#Arthritis,Musculoskeletal,Arthritis,Tweets_Arthritis.csv
#Artritis,Musculoskeletal,Artritis,Tweets_Artritis.csv
#ArtritisReumatoide,Immune,ArtritisReumatoide,Tweets_ArtritisReumatoide.csv
#Aspergers,Neurological,Aspergers,Tweets_Aspergers.csv
#Asthma,Respiratory,Asthma,Tweets_Asthma.csv
#Ataxia,Neurological,Ataxia,Tweets_Ataxia.csv
#Ataxia,Rare Diseases,Ataxia,Tweets_Ataxia.csv
#AtrialFibrillation,Cardiovascular,AtrialFibrillation,Tweets_AtrialFibrillation.csv
#Autism,Neurological,Autism,Tweets_Autism.csv
#Autoimmune,Immune,Autoimmune,Tweets_Autoimmune.csv
#BackPain,Musculoskeletal,BackPain,Tweets_BackPain.csv
#BackPain,Injury,BackPain,Tweets_BackPain.csv
#Bald,Skin,Bald,Tweets_Bald.csv
#Baldness,Skin,Baldness,Tweets_Baldness.csv
#BattenDisease,Neurological,BattenDisease,Tweets_BattenDisease.csv
#BattenDisease,Rare Diseases,BattenDisease,Tweets_BattenDisease.csv
#BCANS,Lymphatic,BCANS,Tweets_BCANS.csv
#BCANS,Cancer,BCANS,Tweets_BCANS.csv
#BCmets,Lymphatic,BCmets,Tweets_BCmets.csv
#BCmets,Cancer,BCmets,Tweets_BCmets.csv
#BCSM,Lymphatic,BCSM,Tweets_BCSM.csv
#BCSM,Cancer,BCSM,Tweets_BCSM.csv
#BDD,Psych,BDD,Tweets_BDD.csv
#Bedwetting,Excretory,Bedwetting,Tweets_Bedwetting.csv
#bePNDaware,Psych,bePNDaware,Tweets_bePNDaware.csv
#Bipolar,Psych,Bipolar,Tweets_Bipolar.csv
#BipolarDisorder,Psych,BipolarDisorder,Tweets_BipolarDisorder.csv
#BladderCancer,Excretory,BladderCancer,Tweets_BladderCancer.csv
#BladderCancer,Cancer,BladderCancer,Tweets_BladderCancer.csv
#blcsm,Excretory,blcsm,Tweets_blcsm.csv
#blcsm,Cancer,blcsm,Tweets_blcsm.csv
#BleedingDisorders,Blood,BleedingDisorders,Tweets_BleedingDisorders.csv
#BloodCancer,Blood,BloodCancer,Tweets_BloodCancer.csv
#BloodCancer,Cancer,BloodCancer,Tweets_BloodCancer.csv
#BloodClot,Cardiovascular,BloodClot,Tweets_BloodClot.csv
#BowelCancer,Digestive,BowelCancer,Tweets_BowelCancer.csv
#BowelCancer,Cancer,BowelCancer,Tweets_BowelCancer.csv
#BPD,Psych,BPD,Tweets_BPD.csv
#BrainCancer,Neurological,BrainCancer,Tweets_BrainCancer.csv
#BrainCancer,Cancer,BrainCancer,Tweets_BrainCancer.csv
#BrainInjury,Neurological,BrainInjury,Tweets_BrainInjury.csv
#BrainInjury,Injury,BrainInjury,Tweets_BrainInjury.csv
#BrainTumor,Neurological,BrainTumor,Tweets_BrainTumor.csv
#BRCA,Lymphatic,BRCA,Tweets_BRCA.csv
#BRCA,Cancer,BRCA,Tweets_BRCA.csv
#BRCA1,Lymphatic,BRCA1,Tweets_BRCA1.csv
#BRCA1,Cancer,BRCA1,Tweets_BRCA1.csv
#BRCA2,Lymphatic,BRCA2,Tweets_BRCA2.csv
#BRCA2,Cancer,BRCA2,Tweets_BRCA2.csv
#BreastCancer,Lymphatic,BreastCancer,Tweets_BreastCancer.csv
#BreastCancer,Cancer,BreastCancer,Tweets_BreastCancer.csv
#Bronchitis,Respiratory,Bronchitis,Tweets_Bronchitis.csv
#Bronchitis,Infectious Disease,Bronchitis,Tweets_Bronchitis.csv
#Brustkrebs,Lymphatic,Brustkrebs,Tweets_Brustkrebs.csv
#Brustkrebs,Cancer,Brustkrebs,Tweets_Brustkrebs.csv
#BTSM,Neurological,BTSM,Tweets_BTSM.csv
#Bulimia,Psych,Bulimia,Tweets_Bulimia.csv
#Bursitis,Musculoskeletal,Bursitis,Tweets_Bursitis.csv
#CancerChat,Multiple,CancerChat,Tweets_CancerChat.csv
#CancerChat,Cancer,CancerChat,Tweets_CancerChat.csv
#CancerFreeMe,Cancer,CancerFreeMe,Tweets_CancerFreeMe.csv
#CancerSurvivors,Multiple,CancerSurvivors,Tweets_CancerSurvivors.csv
#CancerSurvivors,Cancer,CancerSurvivors,Tweets_CancerSurvivors.csv
#Candidiasis,Infectious Disease,Candidiasis,Tweets_Candidiasis.csv
#Cardiomyopathy,Cardiovascular,Cardiomyopathy,Tweets_Cardiomyopathy.csv
#CarpalTunnelSyndrome,Musculoskeletal,CarpalTunnelSyndrome,Tweets_CarpalTunnelSyndrome.csv
#CaudaEquina,Neurological,CaudaEquina,Tweets_CaudaEquina.csv
#Celiac,Digestive,Celiac,Tweets_Celiac.csv
#CeliacDisease,Digestive,CeliacDisease,Tweets_CeliacDisease.csv
#Celiaquia,Digestive,Celiaquia,Tweets_Celiaquia.csv
#Cerebral,Neurological,Cerebral,Tweets_Cerebral.csv
#CervicalCancer,Reproductive,CervicalCancer,Tweets_CervicalCancer.csv
#CervicalCancer,Cancer,CervicalCancer,Tweets_CervicalCancer.csv
#CHD,Cardiovascular,CHD,Tweets_CHD.csv
#Chemo,Multiple,Chemo,Tweets_Chemo.csv
#Chemo,Cancer,Chemo,Tweets_Chemo.csv
#CHF,Cardiovascular,CHF,Tweets_CHF.csv
#Chiari,Neurological,Chiari,Tweets_Chiari.csv
#ChildhoodCancer,Multiple,ChildhoodCancer,Tweets_ChildhoodCancer.csv
#ChildhoodCancer,Cancer,ChildhoodCancer,Tweets_ChildhoodCancer.csv
#ChildhoodObesity,Endocrine,ChildhoodObesity,Tweets_ChildhoodObesity.csv
#Cholera,Digestive,Cholera,Tweets_Cholera.csv
#Cholera,Infectious Disease,Cholera,Tweets_Cholera.csv
#Cholesteatoma,Sense Organs,Cholesteatoma,Tweets_Cholesteatoma.csv
#Cholesterol,Cardiovascular,Cholesterol,Tweets_Cholesterol.csv
#ChronicPain,Multiple,ChronicPain,Tweets_ChronicPain.csv
#Cirrhosis,Digestive,Cirrhosis,Tweets_Cirrhosis.csv
#CleftLip,Congenital Anomolies,CleftLip,Tweets_CleftLip.csv
#CleftPalate,Congenital Anomolies,CleftPalate,Tweets_CleftPalate.csv
#Colitis,Digestive,Colitis,Tweets_Colitis.csv
#ColonCancer,Digestive,ColonCancer,Tweets_ColonCancer.csv
#ColonCancer,Cancer,ColonCancer,Tweets_ColonCancer.csv
#ColonChat,Digestive,ColonChat,Tweets_ColonChat.csv
#ColonChat,Cancer,ColonChat,Tweets_ColonChat.csv
#ColonIrritable,Digestive,ColonIrritable,Tweets_ColonIrritable.csv
#Congestionnasal,Respiratory,Congestionnasal,Tweets_Congestionnasal.csv
#Congestionnasal,Infectious Disease,Congestionnasal,Tweets_Congestionnasal.csv
#CongestiveHeartFailure,Cardiovascular,CongestiveHeartFailure,Tweets_CongestiveHeartFailure.csv
#COPD,Respiratory,COPD,Tweets_COPD.csv
#CoronaryArteryDisease,Cardiovascular,CoronaryArteryDisease,Tweets_CoronaryArteryDisease.csv
#CowdensSyndrome,Congenital Anomolies,CowdensSyndrome,Tweets_CowdensSyndrome.csv
#CowdensSyndrome,Rare Diseases,CowdensSyndrome,Tweets_CowdensSyndrome.csv
#CRCSM,Digestive,CRCSM,Tweets_CRCSM.csv
#CRCSM,Cancer,CRCSM,Tweets_CRCSM.csv
#Crohns,Digestive,Crohns,Tweets_Crohns.csv
#CrohnsDisease,Digestive,CrohnsDisease,Tweets_CrohnsDisease.csv
#Cryoglobulinemia,Blood,Cryoglobulinemia,Tweets_Cryoglobulinemia.csv
#Cryoglobulinemia,Rare Diseases,Cryoglobulinemia,Tweets_Cryoglobulinemia.csv
#CryoGroup,Blood,CryoGroup,Tweets_CryoGroup.csv
#CryoGroup,Rare Diseases,CryoGroup,Tweets_CryoGroup.csv
#Cushings,Endocrine,Cushings,Tweets_Cushings.csv
#Cushings,Rare Diseases,Cushings,Tweets_Cushings.csv
#CysticFibrosis,Multiple,CysticFibrosis,Tweets_CysticFibrosis.csv
#Deafness,Ill Defined,Deafness,Tweets_Deafness.csv
#Deafness,Injury,Deafness,Tweets_Deafness.csv
#DeepVeinThrombosis,Cardiovascular,DeepVeinThrombosis,Tweets_DeepVeinThrombosis.csv
#Dementia,Neurological,Dementia,Tweets_Dementia.csv
#DementiaChallengers,Neurological,DementiaChallengers,Tweets_DementiaChallengers.csv
#Dengue,Infectious Disease,Dengue,Tweets_Dengue.csv
#Depression,Psych,Depression,Tweets_Depression.csv
#Diabesity,Endocrine,Diabesity,Tweets_Diabesity.csv
#Diabetes,Endocrine,Diabetes,Tweets_Diabetes.csv
#DiabetesEmpowered,Endocrine,DiabetesEmpowered,Tweets_DiabetesEmpowered.csv
#DiabetesLA,Endocrine,DiabetesLA,Tweets_DiabetesLA.csv
#Diabetic,Endocrine,Diabetic,Tweets_Diabetic.csv
#Diabetics,Endocrine,Diabetics,Tweets_Diabetics.csv
#Dialysis,Excretory,Dialysis,Tweets_Dialysis.csv
#Diverticulitis,Digestive,Diverticulitis,Tweets_Diverticulitis.csv
#DownSyndrome,Neurological,DownSyndrome,Tweets_DownSyndrome.csv
#dupuytrens,Musculoskeletal,dupuytrens,Tweets_dupuytrens.csv
#DVT,Cardiovascular,DVT,Tweets_DVT.csv
#Dysautonomia,Multiple,Dysautonomia,Tweets_Dysautonomia.csv
#Dysautonomia,Neurological,Dysautonomia,Tweets_Dysautonomia.csv
#Dyslexia,Ill Defined,Dyslexia,Tweets_Dyslexia.csv
#Dystonia,Neurological,Dystonia,Tweets_Dystonia.csv
#EatingDisorder,Psych,EatingDisorder,Tweets_EatingDisorder.csv
#EatingDisorders,Psych,EatingDisorders,Tweets_EatingDisorders.csv
#Eclampsia,Cardiovascular,Eclampsia,Tweets_Eclampsia.csv
#EColi,Digestive,EColi,Tweets_EColi.csv
#Eczema,Skin,Eczema,Tweets_Eczema.csv
#EDS,Multiple,EDS,Tweets_EDS.csv
#EhlersDanlos,Multiple,EhlersDanlos,Tweets_EhlersDanlos.csv
#EmanuelSyndrome,Congenital Anomolies,EmanuelSyndrome,Tweets_EmanuelSyndrome.csv
#EmanuelSyndrome,Rare Diseases,EmanuelSyndrome,Tweets_EmanuelSyndrome.csv
#EndEd,Psych,EndEd,Tweets_EndEd.csv
#Endometriosis,Reproductive,Endometriosis,Tweets_Endometriosis.csv
#Epilepsy,Neurological,Epilepsy,Tweets_Epilepsy.csv
#esocsm,Cancer,esocsm,Tweets_esocsm.csv
#ESRD,Excretory,ESRD,Tweets_ESRD.csv
#FacialDifference,Multiple,FacialDifference,Tweets_FacialDifference.csv
#FacialDisfigurement,Multiple,FacialDisfigurement,Tweets_FacialDisfigurement.csv
#Fibroid,Reproductive,Fibroid,Tweets_Fibroid.csv
#Fibroids,Reproductive,Fibroids,Tweets_Fibroids.csv
#Fibromyalgia,Musculoskeletal,Fibromyalgia,Tweets_Fibromyalgia.csv
#Flu,Respiratory,Flu,Tweets_Flu.csv
#Flu,Infectious Disease,Flu,Tweets_Flu.csv
#FMD,Cardiovascular,FMD,Tweets_FMD.csv
#FMD,Rare Diseases,FMD,Tweets_FMD.csv
#FMDaware,Cardiovascular,FMDaware,Tweets_FMDaware.csv
#FMDaware,Rare Diseases,FMDaware,Tweets_FMDaware.csv
#FoodAllergy,Immune,FoodAllergy,Tweets_FoodAllergy.csv
#fragileX,Multiple,fragileX,Tweets_fragileX.csv
#Gallbladder,Digestive,Gallbladder,Tweets_Gallbladder.csv
#GERD,Digestive,GERD,Tweets_GERD.csv
#Gestationaldiabetes,Endocrine,Gestationaldiabetes,Tweets_Gestationaldiabetes.csv
#Glint,Immune,Glint,Tweets_Glint.csv
#Gout,Endocrine,Gout,Tweets_Gout.csv
#GPFAD2013,Respiratory,GPFAD2013,Tweets_GPFAD2013.csv
#GPFAD2013,Rare Diseases,GPFAD2013,Tweets_GPFAD2013.csv
#Gripe,Respiratory,Gripe,Tweets_Gripe.csv
#Gripe,Infectious Disease,Gripe,Tweets_Gripe.csv
#Grippe,Respiratory,Grippe,Tweets_Grippe.csv
#Grippe,Infectious Disease,Grippe,Tweets_Grippe.csv
#GynCSM,Reproductive,GynCSM,Tweets_GynCSM.csv
#GynCSM,Cancer,GynCSM,Tweets_GynCSM.csv
#H7N9,Infectious Disease,H7N9,Tweets_H7N9.csv
#HairLoss,Skin,HairLoss,Tweets_HairLoss.csv
#Halitosis,Digestive,Halitosis,Tweets_Halitosis.csv
#HCCD,Digestive,HCCD,Tweets_HCCD.csv
#HearingLoss,Ill Defined,HearingLoss,Tweets_HearingLoss.csv
#HearingLoss,Injury,HearingLoss,Tweets_HearingLoss.csv
#Heartburn,Digestive,Heartburn,Tweets_Heartburn.csv
#HeartDisease,Cardiovascular,HeartDisease,Tweets_HeartDisease.csv
#HeartHealth,Cardiovascular,HeartHealth,Tweets_HeartHealth.csv
#HeatStroke,Multiple,HeatStroke,Tweets_HeatStroke.csv
#HeatStroke,Injury,HeatStroke,Tweets_HeatStroke.csv
#HemoAM,Blood,HemoAM,Tweets_HemoAM.csv
#Hemophilia,Blood,Hemophilia,Tweets_Hemophilia.csv
#Hepatitis,Digestive,Hepatitis,Tweets_Hepatitis.csv
#Hepatitis,Infectious Disease,Hepatitis,Tweets_Hepatitis.csv
#HepB,Digestive,HepB,Tweets_HepB.csv
#HepB,Infectious Disease,HepB,Tweets_HepB.csv
#HepC,Digestive,HepC,Tweets_HepC.csv
#HepC,Infectious Disease,HepC,Tweets_HepC.csv
#HepPartners,Digestive,HepPartners,Tweets_HepPartners.csv
#HepPartners,Infectious Disease,HepPartners,Tweets_HepPartners.csv
#Hernia,Digestive,Hernia,Tweets_Hernia.csv
#HighBloodPressure,Cardiovascular,HighBloodPressure,Tweets_HighBloodPressure.csv
